4.55	2.39	4.53	4.46
3.07	3.83	3.44	4.45
3.33	4.94	4.22	3.59
4.79	2.15	3.19	4.47
3.75	2.3	2.99	4.57
3.62	2.68	3.73	2.57
4.25	2.38	2	3.12
3.21	2.83	3.5	4.37
3.6	4.98	4.11	2.9
5	3.3	4.5	4.59
3.51	2.69	4.46	3.41
2.31	3.23	4.74	3.46
4.04	3.16	2.71	0
3.76	3.78	4.79	4.07
3.28	3.24	2.47	4.65
2.73	3.9	2.97	2.75
4.71	3.14	2.88	3.7
2.04	3.42	2.21	3.1
2.57	2.83	3.86	2.14
3.54	3.35	4.84	2.19
3.79	3.4	4.26	3.99
3.2	3.94	2.67	0
4	2.69	4.97	4.76
2.44	2.62	3.38	4.68
3.17	4.87	3.23	3.8
2.34	4.17	3.59	2.47
3	2.1	2.79	2.12
2.15	4.89	3.32	3.37
3.21	2.89	3.01	4.4
2.57	2.42	4.38	4.11
4.29	3.78	4.61	4.58
4.51	4.62	4.48	4.04
3.93	3.95	3.16	0
2.19	4.3	3.27	2.27
2.41	2.97	4.5	4.81
3.61	5	4.56	2.74
2.76	3.47	2.28	4.85
2.82	4.05	4.66	2.42
2.37	3.37	2.85	2.82
2.63	2.47	3.36	2.83
4.19	3.39	2.03	2.07
3.27	2.16	4.11	2.6
2.98	3.02	3.98	2.21
4.58	3.54	4.55	4.07
5	3.84	3.76	3.29
3.08	3.23	4.84	4.09
2.98	4.08	3.06	3.63
2.12	4.61	4.72	3.82
2.28	3.87	4.29	4.82
4.45	3.51	4.88	0
